recipe_id,recipe_title,style,style_group,year,hop_name,hop_name_normalized,amount_oz,alpha_acid_pct,usage,time_min,hop_type,batch_size_gal,oz_per_gal,biotransformation
711,Lee’s American Pale Ale,AMERICAN PALE ALE,IPA,2018.0,Apollo,Apollo,0.3,18.2,boil,60.0,bittering,6.0,0.049999999999999996,
711,Lee’s American Pale Ale,AMERICAN PALE ALE,IPA,2018.0,Centennial,Centennial,2.0,10.0,whirlpool,,aroma,6.0,0.3333333333333333,
711,Lee’s American Pale Ale,AMERICAN PALE ALE,IPA,2018.0,Citra,Citra,1.0,12.0,whirlpool,,aroma,6.0,0.16666666666666666,
711,Lee’s American Pale Ale,AMERICAN PALE ALE,IPA,2018.0,Mosaic,Mosaic,1.0,12.0,whirlpool,,aroma,6.0,0.16666666666666666,
711,Lee’s American Pale Ale,AMERICAN PALE ALE,IPA,2018.0,Citra,Citra,1.0,12.0,dry hop,5.0,dry_hop,6.0,0.16666666666666666,
711,Lee’s American Pale Ale,AMERICAN PALE ALE,IPA,2018.0,Mosaic,Mosaic,1.0,12.0,dry hop,5.0,dry_hop,6.0,0.16666666666666666,
711,Lee’s American Pale Ale,AMERICAN PALE ALE,IPA,2018.0,Centennial,Centennial,2.0,10.0,dry hop,5.0,dry_hop,6.0,0.3333333333333333,
712,Cookie Dough Brown Ale,AMERICAN BROWN ALE,BROWN_ALE,2018.0,Northern Brewer,Northern Brewer,1.5,,boil,60.0,bittering,10.0,0.15,
712,Cookie Dough Brown Ale,AMERICAN BROWN ALE,BROWN_ALE,2018.0,Centennial,Centennial,1.5,,boil,20.0,flavor,10.0,0.15,
712,Cookie Dough Brown Ale,AMERICAN BROWN ALE,BROWN_ALE,2018.0,Northern Brewer,Northern Brewer,2.0,,boil,0.0,other,10.0,0.2,
712,Cookie Dough Brown Ale,AMERICAN BROWN ALE,BROWN_ALE,2018.0,Centennial,Centennial,2.0,,boil,0.0,other,10.0,0.2,
712,Cookie Dough Brown Ale,AMERICAN BROWN ALE,BROWN_ALE,2018.0,Northern Brewer,Northern Brewer,2.0,,dry hop,,dry_hop,10.0,0.2,
712,Cookie Dough Brown Ale,AMERICAN BROWN ALE,BROWN_ALE,2018.0,Cascade,Cascade,2.0,,dry hop,,dry_hop,10.0,0.2,
713,Cat Scratch Cali,Foreign / Tropical Stout,STOUT,2018.0,Valley CO2 Extract hops,Valley CO2 Extract,0.25,,boil,60.0,bittering,5.5,0.045454545454545456,
714,Hop Burst IPA,AMERICAN IPA,IPA,2018.0,Hop Blend*,Hop Blend*,0.5,12.8,FWH,10.0,fwh,6.5,0.07692307692307693,
714,Hop Burst IPA,AMERICAN IPA,IPA,2018.0,Hop Blend*,Hop Blend*,1.0,12.8,boil,15.0,flavor,6.5,0.15384615384615385,
714,Hop Burst IPA,AMERICAN IPA,IPA,2018.0,Hop Blend*,Hop Blend*,2.0,12.8,boil,10.0,flavor,6.5,0.3076923076923077,
714,Hop Burst IPA,AMERICAN IPA,IPA,2018.0,Hop Blend*,Hop Blend*,3.5,12.8,boil,5.0,flavor,6.5,0.5384615384615384,
714,Hop Burst IPA,AMERICAN IPA,IPA,2018.0,Hop Blend*,Hop Blend*,1.0,12.8,boil,0.0,other,6.5,0.15384615384615385,
714,Hop Burst IPA,AMERICAN IPA,IPA,2018.0,Citra (cryo),Citra (cryo),1.0,23.6,boil,0.0,other,6.5,0.15384615384615385,
714,Hop Burst IPA,AMERICAN IPA,IPA,2018.0,Ekuanot (cryo),Ekuanot (cryo),1.0,25.5,boil,0.0,other,6.5,0.15384615384615385,
714,Hop Burst IPA,AMERICAN IPA,IPA,2018.0,Mosaic (cryo),Mosaic (cryo),1.0,22.1,boil,0.0,other,6.5,0.15384615384615385,
714,Hop Burst IPA,AMERICAN IPA,IPA,2018.0,Simcoe (cryo),Simcoe (cryo),1.0,23.6,boil,0.0,other,6.5,0.15384615384615385,
714,Hop Burst IPA,AMERICAN IPA,IPA,2018.0,Citra (cryo),Citra (cryo),1.0,23.6,dry hop,-1.0,dry_hop,6.5,0.15384615384615385,
714,Hop Burst IPA,AMERICAN IPA,IPA,2018.0,Millennium (cryo),Millennium (cryo),1.0,29.0,dry hop,-1.0,dry_hop,6.5,0.15384615384615385,
714,Hop Burst IPA,AMERICAN IPA,IPA,2018.0,Mosaic (cryo),Mosaic (cryo),1.0,22.1,dry hop,-1.0,dry_hop,6.5,0.15384615384615385,
714,Hop Burst IPA,AMERICAN IPA,IPA,2018.0,Simcoe (cryo),Simcoe (cryo),1.0,23.6,dry hop,-1.0,dry_hop,6.5,0.15384615384615385,
715,Star Maker Imperial Stout,IMPERIAL STOUT,STOUT,2018.0,Chinook,Chinook,2.0,13.1,boil,60.0,bittering,5.6,0.35714285714285715,
715,Star Maker Imperial Stout,IMPERIAL STOUT,STOUT,2018.0,Perle,Perle,1.0,7.3,boil,60.0,bittering,5.6,0.17857142857142858,
715,Star Maker Imperial Stout,IMPERIAL STOUT,STOUT,2018.0,Chinook,Chinook,1.0,13.1,boil,30.0,flavor,5.6,0.17857142857142858,
715,Star Maker Imperial Stout,IMPERIAL STOUT,STOUT,2018.0,Perle,Perle,1.0,7.3,boil,15.0,flavor,5.6,0.17857142857142858,
715,Star Maker Imperial Stout,IMPERIAL STOUT,STOUT,2018.0,Chinook,Chinook,1.0,13.1,boil,5.0,flavor,5.6,0.17857142857142858,
716,Mendel’s Monster Double IPA,IMPERIAL / DOUBLE IPA,IPA,2018.0,Chinook,Chinook,0.7407538051817493,12.6,boil,90.0,bittering,5.0,0.14815076103634986,
716,Mendel’s Monster Double IPA,IMPERIAL / DOUBLE IPA,IPA,2018.0,Centennial,Centennial,1.9753434804846648,9.2,boil,60.0,bittering,5.0,0.39506869609693296,
716,Mendel’s Monster Double IPA,IMPERIAL / DOUBLE IPA,IPA,2018.0,Amarillo,Amarillo,0.9876717402423324,9.2,boil,30.0,flavor,5.0,0.19753434804846648,
716,Mendel’s Monster Double IPA,IMPERIAL / DOUBLE IPA,IPA,2018.0,Cascade,Cascade,1.9753434804846648,6.6,boil,5.0,flavor,5.0,0.39506869609693296,
